"General Configuration","Algemene Configuratie"
"You can find the necessary information in your WebwinkelKeur dashboard bottom of the page -Place WebwinkelKeur mark- <br/> As addition next to the activation of this extension we also recommend you to place the appropriate WebwinkelKeur logo and banner.<br/><br/>","U vindt de nodige gegevens in uw WebwinkelKeur dashboard onderaan de pagina onder <strong>Keurmerk plaatsen.</strong> <br/>Naast het activeren van deze module raden wij u ook aan om handmatig nog het nodige logo en bannermateriaal te plaatsen voor een goede conversie. <br/><br/>"
"Enabled","Enabled"
"API CREDENTIALS","API Gegevens"
"Webshop ID","Webshop ID"
"API Key","API Sleutel"
"URL","URL"
"You can find this information in your WebwinkelKeur account","Deze informatie is terug te vinden in uw WebwinkelKeur account."
"WebwinkelKeur Import Reviews","WebwinkelKeur Import Reviews"
"To display the latest reviews in your store, you must import the reviews. <br/> This can be done automatically or manually.<br/><br/>","Om de laatste beoordelingen weer te geven moeten deze ge誰mporteerd worden. <br/>Dit kan automatisch of handmatig.<br/><br/>"
"Import Automatically","Importeer automatisch"
"Last Update","Laatste update"
"Update Summary","Update samenvatting"
"Update Reviews","Update beoordelingen"
"Update Review History","Update historische beoordelingen"
"Process Manually","Handmatig inladen"
"Use the Magento Cronjob to use the automatically import. A cronjob is a daemon which keeps running and gets activated at a said interval (time period). Please make sure your default Magento Cron is working. If not, contact your hosting company for help.","Gebruik de Magento Cronjob om automatisch beoordelingen in te laden. Zorg ervoor dat de Magento Cronjob werkt, is dit niet het geval? Neem dan contact op met je hosting-partij"
"Select the schedule for automatic updating","Selecteer de tijdsperiode waarin de beoordelingen moeten worden ge端pdate"
"Latest Reviews Visibility","Laatste Beoordelingen zichtbaarheid"
"Show the latest reviews directly in the right or left area of your store to gain trust and directly show your client reviews.<br/><br/>","Toon de laatste beoordelingen direct aan de rechter of linkerkant van de pagina om vertrouwen en op te bouwen.<br/><br/>"
"Left Sidebar","Linker Sidebar"
"Number of Reviews","Aantal beoordelingen"
"Character length of Reviews","Lengte van een beoordelingen"
"Link to","Link naar"
"Add Rich Snippets","Voeg Rich Snippets toe"
"You can only activate the Rich Snippets when this block is shown on your Homepage only","De Rich Snippets kunnen alleen worden geactiveerd wanneer dit blok op de homepage wordt vertoond."
"Right Sidebar","Rechter Sidebar"
"WebwinkelKeur Overview Page","WebwinkelKeur overzichtpagina"
"We can import your customer reviews and display them in your store as new content. <br/><br/> Link: http://www.mywebshop.com/<strong>WebwinkelKeur</strong><br/><br/>","We kunnen uw klantbeoordelingen importeren en weergeven op een eigen pagina binnen uw webwinkel.<br> Hiermee worden de beoordelingen naast bij WebwinkelKeur ook op uw eigen website weergegeven.<br/><br/> Link: http://www.naamwebwinkel.nl/<strong>WebwinkelKeur</strong><br/><br/>"
"Pagination","Pagina's opdelen"
"Pagination is the process of dividing (content) into discrete pages","Pagina's opdelen kan handig zijn wanneer er teveel beoordelingen zijn voor 1 pagina"
"Reviews per page","Aantal beoordelingen per pagina"
"Meta Data","Meta data"
"Meta Title","Meta titel"
"Meta Description","Meta omschrijving"
"Meta Keywords","Meta zoekwoorden"
"Invitation to write the customer experience","Uitnodiging om een review e-mail te schrijven"
"WebwinkelKeur can invite your customers to write customer reviews. This feature is only available to PLUS members. <br><a href=""https://www.WebwinkelKeur.nl/webwinkel/mogelijkheden/plus/"">https://www.WebwinkelKeur.nl/webwinkel/mogelijkheden/plus/</a> <br/><br/>","WebwinkelKeur kan uw klanten uitnodigen tot het delen van een klantbeoordeling. Deze functie is enkel beschikbaar voor PLUS leden. <br><a href=""https://www.WebwinkelKeur.nl/webwinkel/mogelijkheden/plus/"">https://www.WebwinkelKeur.nl/webwinkel/mogelijkheden/plus/</a> <br/><br/>"
"Activate","Activeren"
"Send invitation?","Uitnodiging versturen"
"Order is Completed with status","Verzend bij status"
"Invitation e-mail is sent after such status is achieved","Uitnodiging e-mail wordt verstuurd vanaf het moment dat deze order-status is bereikt"
"Delay","Vertraging"
"Send the invitation x days after the order is completed","Stuur de uitnodiging X dagen nadat de bovengenoemde status is bereikt"
"Maximum Delay","Maximale vertraging"
"Change only if necessary","Alleen veranderen wanneer aangegeven"
"Send customers automatically receive an invitation to share a customer experience. This feature is only available for WebwinkelKeur PLUS members.","Stuur klanten volledig automatisch een uitnodiging om hun klant ervaring te delen. Deze functie is alleen beschikbaar voor WebwinkelKeur PLUS leden"
"Specify at which status you want to send the invitation. Default is Completed","Geef aan bij welke status de uitnodiging verzonden moet worden. Standaard is dit <strong>Complete</strong>"
"This will ensure that the customer receives the invitation shortly after receiving the product and not before. This increases the opportunity that the client will share his experience.","Dit zal ervoor zorgen dat de klant pas na het ontvangst van het product de uitnodiging ontvangt. Dit verhoogt de kans dat de klant zijn ervaring zal delen."
"Number of days to complete order may last, if it takes longer then no invitation will be sent. Read more about this feature on WebwinkelKeur.nl.","Aantal dagen dat een sessie kan duren, als het langer duurt zal er geen uitnodiging zal worden verstuurd. Lees meer over deze functie op WebwinkelKeur.nl."
"WebwinkelKeur Javascript Sidebar","WebwinkelKeur Javascript Sidebar"
"The WebwinkelKeur javascript integration ensures that your WebwinkelKeur to load page on your own web store. <br/> Now customers don't have to leave your store anymore to read the reviews. <br/> This effectively increases your conversion!<br><br>","De WebwinkelKeur javascript integratie zorgt ervoor dat uw WebwinkelKeur pagina binnen uw eigen webwinkel te laden is. <br>Zo hoeven klanten uw webwinkel niet te verlaten om uw gegevens te bekijken, beoordelingen te lezen of te plaatsen. <br>Dit verhoogt daarmee uw conversie.<br><br>"
"Javascript Integration","Javascript Integratie"
"Show Sidebar","Sidebar tonen"
"Tooltip","Tooltip"
"Sidebar Position","Sidebar positie"
"Place of the sidebar","Plek van de sidebar"
"Insert the interactive WebwinkelKeur Sidebar","Activeer de interactieve WebwinkelKeur Sidebar"
"Whether to display the mouseover tooltip","Maak wel of geen gebruik van de tooltip"
"The position of the sidebar","De positie van de sidebar"
"Placement from top screen","Afstand vanaf boven"
"Showing the sidebar ensures a higher confidence. Visitors can read the reviews without leaving the store.","Het tonen van de beoordelingen zorgt voor een hoger vertrouwen. Bezoekers kunnen de beoordelingen lezen zonder de winkel te verlaten."
"Showing the sidebar ensures a higher confidence. Visitors also do not have to leave to check the reviews which increases your conversion.","Het tonen van de beoordelingen zorgt voor een hoger vertrouwen. Bezoekers kunnen de beoordelingen lezen zonder de winkel te verlaten."
"WebwinkelKeur Log Settings","WebwinkelKeur log instellingen"
"Logs can be activated in order to detect errors.<br/> This feature is particularly for developers.<br/><br/>","De logfile kan worden geactiveerd om eventuele foutmeldingen op te slaan.<br/>Deze functie is hoofdzakelijk bestemd voor ontwikkelaars.<br/><br/>"
"Enable Log Function","Activeer log functionaliteit"
"Auto Cleaning","Automatisch opschonen "
"Clean After Days","Opschonen na aantal dagen"
"WebwinkelKeur Rich Snippets","WebwinkelKeur Rich Snippets"
"Rich Snippets is a schema.org markup that makes it possible to give richer and more specific information.  <br/> The Rich Snippets will show your store rating in the google search engine results. <br/><br/>Use: {{block type=""webwinkelkeur/snippets"" name=""webwinkelsnippets""}} to call the block on the homepage.<br/><br/>","Rich snippets maken het mogelijk om bepaalde informatie aan Google door te geven.<br> Met deze Rich snippets kunt u uw gemiddelde beoordeling doorgeven aan Google waardoor er sterren kunnen verschijnen in de zoekresultaten. <br/><br/>Plaats: {{block type=""webwinkelkeur/snippets"" name=""webwinkelsnippets""}} in de CMS Homepage om het blok in te schakelen.<br/><br/>"
"WebwinkelKeur Reviews","Beoordelingen"
"WebwinkelKeur Log","WebwinkelKeur Log"
"WebwinkelKeur Config,"WebwinkelKeur Instellingen"
"Shop","Winkel"
"Experience","Recensie"
"Delivery","Verzending"
"Friendlyness","Vriendelijkheid"
"Price Quality","Prijs/kwaliteit"
"Sidebar","Sidebar"
"Delete all reviews","Verwijder alle recensies"
"Set to invisible","Deactiveer"
"Set to visible","Activeer"
"Add to Sidebar","Plaats in Sidebar"
"Remove from Sidebar","Verwijder uit Sidebar"
"Are you sure you want to delete all reviews?","Weet je zeker dat je alle beoordelingen wilt verwijderen?"
"Are you sure you want to cleanup logfiles?","Weet je zeker dat je alle logfiles wilt verwijderen?"
"Please select item(s)","Selecteer hier item(s)"
"Webwinkel ID %s: no updates found, feed is empty or not foud!","Webwinkel ID %s: geen updates gevonden, feed is leeg of niet gevonden"
"Total of %d review(s) were disabled.","Een totaal van %d beoordeling(en) zijn uitgeschakeld."
"Total of %d review(s) were enabled.","Een totaal van %d beoordeling(en) zijn ingeschakeld"
"Total of %d review(s) were added to the sidebar.","Een totaal van %d beoordelingen zijn toegevoegd aan de sidebar."
"Total of %d review(s) were removed from the sidebar.","Een totaal van %d beoordelingen zijn verwijdert uit de sidebar"
"Succefully deleted all %s saved review(s).","'Succesvol verwijdert van %s beoordeling(en)."
"%s new review(s)","%s nieuwe beoordeling(en)"
"%s review(s) updated","%s beoordeling(en) ge端pdatet"
"total score updated.","totaal score ge端pdatet."
"(more)","(meer)"
"%s - Repsonse: %s","'%s - Feedback: %s"
"Invitation Call","Uitnodiging"
"Cleanup Log","Log opschonen" 
"Write review","Schrijf beoordeling"
"Link","Link"
"Delivery Time","Verzending"
"Userfriendlyness","Vriendelijkheid"
"Price / Quality,"Prijs / Kwaliteit"
"Aftersales","Service"
"Rating %s based on %s customer reviews,"Beoordeling %s is op basis van %s klant beoordelingen"
"Based on %s reviews","Gebaseerd op %s beoordelingen"